title,desc,access,publisher,contact,email,bureauCode
Electricity Data: Quality Fossil Fuels in Electricity Generation: Ash Content Application Programming Interface (API),"This API provides data on ash content in fossil fuels. Data organized by fuel type, i.e., coal, bituminous coal, subbituminous coal, lignite coal, and petroleum coke. Also by sector, i.e., electric power, electric utility, independent power producers, commercial, and industrial. Annual, quarterly, and monthly data available.  Based on Form EIA-423 and Form EIA-923 data.   Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data - Fossil Fuels,"This provides data on the average cost of fossil. Data organized by fuel type, i.e., coal, bituminous coal, subbituminous coal, lignite coal, petroleum liquids, petroleum coke, and natural gas. Also by sector, i.e., electric power, electric utility, independent power producers, commercial, and industrial. Annual, quarterly, and monthly data available.  Based on Form EIA-423 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data - Retail Sales,"This API provides  data on retail sales of electricity by major end-use sectors, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 and Form EIA-861 data. Annual, quarterly, and monthly data available.",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data: Consumption for Useful Thermal Output Application Programming Interface (API),"This API provides  data on U.S. consumption for useful thermal output. Data organized by fuel type, i.e., coal, petroleum liquids, petroleum coke, and  natural gas. Data also organized by sector, i.e., electric power, electric utility, commerical and industrial. Annual, quarterly, and monthly data available. Based on Form EIA-906, Form EIA-920, and Form EIA-923 data.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data: Net Generation from Electricity Plants Application Programming Interface (API),"This API provides data on U.S. electricity generation by fuel type, i.e., coal, petroleum, natural gas, nuclear, hydroelectric, wind, solar, geothermal, and wood. Data also organized by sector, i.e., electric power, electric utility, commerical and industrial. Annual, quarterly, and monthly data available. Based on Form EIA-906, Form EIA-920, and Form EIA-923 data.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data: Receipts of Fossil Fuels by Electricity Plants Application Programming Interface (API),"This API provides data on receipts of fossil fuels by electricity plants. Data organized by fuel type, i.e., coal, bituminous coal, subbituminous coal, lignite coal, petroleum liquids, petroleum coke, and natural gas. Also by sector, i.e., electric power, electric utility, independent power producers, commercial, and industrial. Annual, quarterly, and monthly data available.  Based on Form EIA-423 and Form EIA-923 data. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data: Total Consumption Application Programming Interface (API),"This API provides data on U.S. total electricity consumption by fuel type, i.e., coal, petroleum liquids, petroleum coke, and  natural gas. Data also organized by sector, i.e., electric power, electric utility, commerical and industrial. Annual, quarterly, and monthly data available. Based on Form EIA-906, Form EIA-920, and Form EIA-923 data.  Users of the EIA API are required to obtain an API Key via this registration form:  http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electricity Data: Total Consumption (Btu) Application Programming Interface (API),"This API provides data on U.S. total consumption in Btu by fuel type, i.e., coal, petroleum liquids, petroleum coke, and  natural gas. Data also organized by sector, i.e., electric power, electric utility, commercial and industrial. Annual, quarterly, and monthly data available. Based on Form EIA-906, Form EIA-920, and Form EIA-923 data.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Electric Power Annual,"Annual data on electricity generating capacity, electricity generation and useful thermal output, fuel receipts, fuel stocks, sales, consumption, and emissions in the United States. Based on Form EIA-861 and Form EIA-860 data. Annual time series extend back to 1994.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Energy Analysis & Projections,"Monthly and yearly forecasts of energy production, consumption, and price at the national level and by energy type.  Monthly forecasts extend 18 months and yearly forecasts extend to 2040.  International yearly projections by region extend to 2040.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Portal,"Country-level data on all energy sources, i.e., coal, electricity, petroleum, primary energy, biofuels, and natural gas. Data on production, consumption, reserves, prices, stocks, imports, exports, emissions, capacity, generation, and carbon dioxide intensity. The portal gives users the option to visualize data on a bubble map, heat map, column chart, or time-series chart.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Energy Data and Statistics from U.S. States,"State-level data on all energy sources. Data on production, consumption, reserves, stocks, prices, imports, and exports. Data are collated from state-specific data reported elsewhere on the EIA website and are the most recent values available.  Data on U.S. territories also available.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Energy Markets & Finance Data and Statistics,"Information on price volatility and forecast uncertainty for crude oil and natural gas as well as an analysis of 7 key factors that may influence oil prices, physical market factors and factors related to trading and financial markets.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Energy-Related Environmental Data,"Environmental data on carbon dioxide emissions from energy and industry, by consuming sector (residential, commercial, industrial, transportation, electric power), and other emissions. Most data available from 1973.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Coal Data Application Programming Interface (API),"Data on coal prices, reserves, production, imports and exports, stocks, consumption, receipts, and market sales. API also includes coal mine production, labor hours, average employees, and productivity.",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Short-Term Energy Outlook Application Programming Interface (API),"The API provides data back to 1990 and projections annually, monthly, and quarterly for 18 months.  Summarizes the outlook for demand, supply and prices for petroleum, natural gas, electricity and coal as well as projections of carbon dioxide emissions from the production of fossil fuels, and a discussion of price forecast uncertainty.  Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual Energy Outlook Application Programming Interface (API),"The Annual Energy Outlook API presents long-term annual projections of energy supply, demand, and prices through 2040. The projections, focused on U.S. energy markets, are based on results from EIA’s National Energy Modeling System (NEMS). NEMS enables EIA to make projections under alternative, internally-consistent sets of assumptions, the results of which are presented as cases. The projections cover natural gas, petroleum, coal, electricity and renewable fuels by sector (residential, commercial, industrial, electric generation, and transportation) and by region (census). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
New England Dashboard,"To increase customer understanding of weather-related energy issues in New England, EIA released an interactive dashboard showing energy market conditions in that region. The dashboard will help analysts and interested participants examine many key aspects of the New England energy market such as fuel diversification, wholesale price volatility, energy delivery dynamics, the effect of weather on operations, the effect of fuel prices on electricity prices, regional and onsite fuel stocks.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Liquids pipeline projects database,"EIA launched a new liquids pipeline projects database that tracks more than 200 pipeline projects for crude oil, hydrocarbon gas liquids (HGL), and other petroleum products. The database contains project information such as project type, start date, capacity, mileage, and geographic information for historical (completed since 2010) and future pipeline projects. The information in the database is based on the latest public information from company documents, government filings, and trade press, but it does not reflect any assumptions on the likelihood or timing of project completion. The liquids pipeline projects database complements EIA’s natural gas pipeline projects table.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
State carbon dioxide emissions data,"Annual state-level estimates of energy consumption, prices, and expenditures for jet fuel.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Mines, Surface and Underground",All operating surface and underground coal mines in the United States.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Bulk Download Facility,"The bulk download facility provides the entire contents of each major API data set in a single ZIP file. A small JSON formatted manifest file lists the bulk files and the update date of each file. The manifest is generally updated daily and can be downloaded from http://api.eia.gov/bulk/manifest.txt. The manifest contains information about the bulk files, including all required common core attributes.",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2011","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"Coal Production by MSHA ID, Mine Operation, Union Status, and Average Number of Employees and Hours 2012","Data on U.S mining operation (i.e., operation name, mailing address, telephone number, State and county of operation, etc.), annual coal production, code definitions, union status, labor hours, and employment data. Annual time series extend back to 1983. Based on EIA Form-7A data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2010,"Utility level retail sales of electricity and associated revenue in 2010. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2011,"Utility level retail sales of electricity and associated revenue in 2011. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2012,"Utility level retail sales of electricity and associated revenue in 2012. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2013,"Utility level retail sales of electricity and associated revenue in 2013. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2014,"Utility level retail sales of electricity and associated revenue in 2014. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2015,"Utility level retail sales of electricity and associated revenue in 2015. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2016,"Utility level retail sales of electricity and associated revenue in 2016. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2017,"Utility level retail sales of electricity and associated revenue in 2017. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly Electric Utility Sales and Revenue Data 2018,"Utility level retail sales of electricity and associated revenue in 2018. Organized by reporting month, state, and by end-use sector, i.e., residential, commercial, industrial, and transportation. Based on Form EIA-826 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Annual 2004 Electric Generator Report,"Annual U.S. generator level data about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). Based on EIA Form-860 data. Data contained in a zip file. The zip file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. The file also includes data on the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2009 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2009 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plans, and combined heat and power (CHP) plants. Data organized at the plant-level. Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2011 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2011 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level. Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2012 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2012 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2013 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2013 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2015 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2015 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2016 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2016 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2017 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2017 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2018 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2018 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Monthly 2014 Utility and Nonutility Fuel Receipts and Fuel Quality Data,"Monthly 2014 data on U.S. electric power generation and fuel consumption, stocks, receipts, quality, costs, fuel supplier, and coal mine source from utility power plants, nonutility power plants, and combined heat and power (CHP) plants. Data organized at the plant-level.  Based on Form EIA-923 data. Monthly time series extend back to 2001.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Petroleum & Other Liquids Data and Statistics,"Weekly, monthly, and annual data on crude oil, gasoline, diesel, propane, jet fuel, ethanol, and other liquid fuels. Domestic and international data on petroleum prices, crude reserves and production, refining and processing, imports/exports, stocks, and consumption/sales.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2011,"Monthly 2011 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2013,"Monthly 2013 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2015,"Monthly 2015 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2016,"Monthly 2016 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2017,"Monthly 2017 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2018,"Monthly 2018 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 2014,"Monthly 2014 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Alternative Fuel Vehicle Data,Annual data on the number of on-road alternative fuel vehicles and hybrid vehicles made available in the U.S. Data on the use of alternative fueled vehicles and the amount of fuel they consume is also available. Based on Form EIA-886 data and data extend back to 1994.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Tight Oil Production Estimates by Play,Estimated monthly production derived from state administrative data. Data are back to January 2000.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Crude Oil and Petroleum Exports,Monthly Crude Oil and Petroleum Products Exports . Data are back to January 1981 for petroleum products and back to January 1920 for crude oil.,public,U.S. Energy Information Administration,William Jeffers,melinda.hobbs@eia.gov,019:20
Dry Shale Gas Production Estimates by Play,Estimated monthly production derived from state administrative data. Data are back to January 2000.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
U.S. Energy Mapping System,Map data for energy production and consumption in geospatial format.,public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Gross Natural Gas Application Programming Interface (API),"This API provides international data on gross natural gas production, reserves, and carbon dioxide emissions. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Anthracite Application Programming Interface (API),This API provides international data on anthracite coal production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data - Coal,This API provides international data on coal production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data Application Programming Interface (API),"This API provides international data on energy sources (e.g., coal, electricity, natural gas, petroleum, coal, renewables) and activities (e.g., consumption, imports, exports, carbon emissions, prices, production). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data - All Energy,"This API provides international data on energy sources (e.g., coal, electricity, natural gas, petroleum, coal, renewables) and activities (e.g., consumption, imports, exports, carbon emissions, prices, production). Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Biodiesel Application Programming Interface (API),This API provides international data on biodiesel production and consumption. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data - Alternative Energy,This API provides international data on alternative energy such as biodiesel production and consumption. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Biofuels Application Programming Interface (API),This API provides international data on biofuel production and consumption. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Biomass and Waste Application Programming Interface (API),This API provides international data on biomass energy and waste energy capacity and generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Bituminous Application Programming Interface (API),This API provides  international data on bituminous coal production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Coal Application Programming Interface (API),"This API provides international data on coal consumption, imports, exports, and carbon dioxide emissions. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Consumed Natural Gas Application Programming Interface (API),This API provides international data on consumed natural gas carbon dioxide emissions. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data - Natural Gas,This collection provides international data on natural gas. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data - Petroleum and Other Liquids,"This API provides international data on crude oil including lease condensate production, imports, exports, and reserves. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Crude Oil including Lease Condensate Application Programming Interface (API),"This API provides international data on crude oil including lease condensate production, imports, exports, and reserves. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
"International Energy Data: Crude Oil, NGPL, and Other Liquids Application Programming Interface (API)","This API provides international data on crude oil, NGPL, and other liquids production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Distillate Fuel Oil Application Programming Interface (API),"This API provides international data on distillate fuel oil production, consumption, imports, exports, and bunkers. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Dry Natural Gas Application Programming Interface (API),"This API provides international data on dry natural gas production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Electricity Application Programming Interface (API),"This API provides international data on electricity consumption, imports, exports, capacity, distribution losses, generation, and net imports.  Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Energy Intensity Using Market Exchange Rates Application Programming Interface (API),This API provides international data on energy intensity and carbon dioxide intensity using market exchange rates. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Flared Natural Gas Application Programming Interface (API),This API provides international data on carbon dioxide emissions from flared natural gas. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Fossil Fuels Application Programming Interface (API),This API provides international data on fossil fuels electricity capacity and electricity net generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Fuel Ethanol Application Programming Interface (API),This API provides international data on fuel ethanol production and consumption. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Geothermal Application Programming Interface (API),This API provides international data on geothermal electricity capacity and electricity generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Hard Coal Application Programming Interface (API),This API provides  international data on hard coal production and reserves. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Hard Coal Briquettes Application Programming Interface (API),This API provides international data on hard coal briquettes production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Hydroelectricity Application Programming Interface (API),This API provides international data on hydroelectric energy capacity and generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Hydroelectric Pumped Storage Application Programming Interface (API),This API provides international data on hydroelectric pumped storage capacity and generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Jet Fuel Application Programming Interface (API),"This API provides international data on jet fuel production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Kerosene Application Programming Interface (API),"This API provides international data on kerosene production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Lignite Application Programming Interface (API),This API provides  international data on lignite coal production and reserves. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Lignite Briquettes Application Programming Interface (API),This API provides international data on lignite coal briquettes production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
